lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1170290,19:30.3,0.5252100825309753,98.27804565429688,0,0,4,4428,9.3984375,4941.857422,4.880968094,-4217.252441,right start,,1,1171175,19:31.2,0.5252847671508789,96.62470245361328,0.062745102,0,4,4360,-8.616154671,4920.804199,4.864993095397949,-4205.830078,end Curve,,,,,,,,,,,,,,,,,,,,,
1,1182978,19:43.0,0.5263591408729553,105.97577667236328,0,0,4,4775.904297,-4.40625,4634.719727,5.156286716461182,-4015.834229,left start,,1,1183955,19:44.0,0.5264469385147095,99.56198883,0,0.3026543855667114,4,4425.877441,6.705225944519043,4612.277344,5.137802600860596,-3998.659424,end,,,,,,,,,,,,,,,,,,,,,
1,1191617,19:51.6,0.526997983,85.35224151611328,0,0,3,5536.227051,5.416401386260986,4464.711914,5.217764377593994,-3900.907471,right start,,1,1192892,19:52.9,0.5270906686782837,84.31406403,0.20392157137393951,0,3,5519.842773,-3.23828125,4438.791992,5.261641502380371,-3886.066895,end,,,,,,,,,,,,,,,,,,,,,
1,1206175,20:06.2,0.5281854867935181,100.59774017333984,0,0,4,4532,-4.58984375,4145.226074,5.410944938659668,-3690.878906,left start,,1,1207264,20:07.3,0.5282782912254333,97.74894714355469,0,0,4,4404,6.741436958312988,4121.343262,5.394967079162598,-3672.720459,end,,,,,,,,,,,,,,,,,,,,,
1,1224395,20:24.4,0.5297726988792419,98.70799255371094,0,0,4,4447.328613,5.570255279541016,3718.501465,13.066618919372559,-3405.556396,right start,,1,1225515,20:25.5,0.5298658609390259,95.64465332,0,0,4,4308,-5.997754574,3692.310302734375,13.278090476989746,-3390.463379,end,,,,,,,,,,,,,,,,,,,,,
1,1241410,20:41.4,0.530979574,68.08522797,0.094117649,0,3,4440,-9.785851479,3392.155517578125,9.001158714294434,-3190.878662,left start,,1,1242440,20:42.4,0.5310399532318115,69.76628112792969,0.25367268919944763,0,3,4589.647461,11.255060195922852,3376.968994140625,8.564569473266602,-3178.489258,end,,,,,,,,,,,,,,,,,,,,,
1,1275437,21:15.4,0.5333957672119141,84.40927887,0.2708714008331299,0,3,5563.855469,6.974348545074463,2741.113281,-1.898239851,-2756.729736,right start,,1,1276461,21:16.5,0.5334718823432922,87.22485352,0,0,3,5662.972656,-10.04329109,2719.474365234375,-1.84047544,-2744.743408,end,,,,,,,,,,,,,,,,,,,,,
1,1288851,21:28.9,0.5342859029769897,71.06576538085938,0,0,3,4618.995117,-9.4921875,2508.154541015625,-1.183100939,-2586.657227,left start,,1,1290208,21:30.2,0.534367025,70.58329010009766,0.3388083279132843,0,3,4680.376953,9.578125,2489.493652,-1.110948563,-2568.034912,end,,,,,,,,,,,,,,,,,,,,,
1,1302960,21:43.0,0.535371721,102.24700927734375,0,0,4,4604,9.065824508666992,2242.463867,-1.512215018,-2355.487793,right start,,1,1303776,21:43.8,0.535442591,100.96029663085938,0,0,4,4548,-9.664949417,2223.842529296875,-2.350172758,-2341.924805,end,,,,,,,,,,,,,,,,,,,,,
1,1310876,21:50.9,0.5360624194145203,103.61886596679688,0,0,4,4668,4.48484993,2071.76123,-10.51650715,-2210.540039,left start,,1,1314354,21:54.4,0.536363423,99.00094604492188,0,0,4,4460,7.2421875,1999.114501953125,-14.47672939,-2145.171143,end,,,,,,,,,,,,,,,,,,,,,
1,1329436,22:09.4,0.5376222729682922,90.97417449951172,0,0,4,4100,3.5495872497558594,1688.816895,-19.7230835,-1877.849243,right start,,1,1330749,22:10.7,0.5377221703529358,87.84883117675781,0.062745102,0,4,3966,-3.167808294,1662.943115234375,-19.629673,-1858.044067,end,,,,,,,,,,,,,,,,,,,,,
1,1347801,22:27.8,0.5390989184379578,99.15855407714844,0.27450981736183167,0,4,4512.785156,0.08996582,1323.533447265625,-12.70742798,-1564.917969,left start,,1,1348661,22:28.7,0.5391726493835449,102.25936126708984,0.27843138575553894,0,4,4656,7.2890625,1306.612305,-12.0684166,-1547.790894,end,,,,,,,,,,,,,,,,,,,,,
1,1374304,22:54.3,0.5417746305465698,116.2862319946289,0,0,4,5232,10.114232063293457,938.5281372070312,-0.827289462,-835.6351929,right start,,1,1375201,22:55.2,0.5418622493743896,113.53775024414062,0,0,4,5104.320801,-7.87109375,936.4320068359375,-0.923980772,-807.0667725,end,,,,,,,,,,,,,,,,,,,,,
1,1383464,23:03.5,0.5425823926925659,90.55290222167969,0,0,4,4083.069091796875,-2.654296875,936.1472168,-0.013659892,-572.3397827,left start,,1,1385035,23:05.0,0.5427001118659973,85.83457946777344,0.054901961237192154,0,4,3874.980957,5.197466850280762,937.994873,0.9976136684417725,-533.921875,end,,,,,,,,,,,,,,,,,,,,,
1,1396604,23:16.6,0.54354912,86.50438690185547,0,0,4,3898.53125,5.028495788574219,944.9254760742188,6.7165913581848145,-257.2802124,right start,,1,1397541,23:17.5,0.5436170697212219,84.33312988,0,0,4,3803.552490234375,-7.2890625,943.8802490234375,6.797624588012695,-235.067688,end,,,,,,,,,,,,,,,,,,,,,
1,1420573,23:40.6,0.5451457500457764,60.782676696777344,0.19879262149333954,0,3,3988.768555,-5.81791687,934.2001953,5.153487682342529,262.8938293457031,left start,,1,1421784,23:41.8,0.545211911,69.46937561035156,0.35686275362968445,0,3,4623.302246,7.078177452087402,936.0722045898438,5.098069667816162,284.4490966796875,end,,,,,,,,,,,,,,,,,,,,,
