2023-11-28T17:08:48.715443,r, R:1 L:0 X:0
2023-11-28T17:09:02.205194,l, R:1 L:1 X:0
2023-11-28T17:09:12.839057,r, R:2 L:1 X:0
2023-11-28T17:09:19.846671,l, R:2 L:2 X:0
2023-11-28T17:09:30.007766,r, R:3 L:2 X:0
2023-11-28T17:09:52.655252,l, R:3 L:3 X:0
2023-11-28T17:10:07.215232,x, R:3 L:3 X:1
2023-11-28T17:10:14.272112,x, R:3 L:3 X:2
2023-11-28T17:10:20.128075,l, R:3 L:4 X:2
2023-11-28T17:10:24.644705,r, R:4 L:4 X:2
2023-11-28T17:10:35.136593,l, R:4 L:5 X:2
2023-11-28T17:10:38.669615,x, R:4 L:5 X:3
2023-11-28T17:10:49.479753,x, R:4 L:5 X:4
2023-11-28T17:10:55.073093,l, R:4 L:6 X:4
2023-11-28T17:11:02.735127,r, R:5 L:6 X:4
2023-11-28T17:11:07.664332,x, R:5 L:6 X:5
2023-11-28T17:11:13.328652,l, R:5 L:7 X:5
2023-11-28T17:11:22.084304,r, R:6 L:7 X:5
2023-11-28T17:11:29.226183,l, R:6 L:8 X:5
2023-11-28T17:11:35.108085,r, R:7 L:8 X:5
2023-11-28T17:11:42.015824,l, R:7 L:9 X:5
2023-11-28T17:11:45.160224,x, R:7 L:9 X:6
2023-11-28T17:11:59.769922,x, R:7 L:9 X:7
2023-11-28T17:12:04.687092,r, R:8 L:9 X:7
2023-11-28T17:12:11.197382,l, R:8 L:10 X:7
2023-11-28T17:12:15.094740,l, R:8 L:11 X:7
2023-11-28T17:12:23.193586,r, R:9 L:11 X:7
2023-11-28T17:12:25.571091,r, R:10 L:11 X:7
2023-11-28T17:12:29.574363,l, R:10 L:12 X:7
2023-11-28T17:12:37.239877,x, R:10 L:12 X:8
2023-11-28T17:12:43.713119,x, R:10 L:12 X:9
2023-11-28T17:12:51.124290,r, R:11 L:12 X:9
2023-11-28T17:12:53.782575,l, R:11 L:13 X:9
2023-11-28T17:13:02.992994,r, R:12 L:13 X:9
2023-11-28T17:13:07.220780,l, R:12 L:14 X:9
2023-11-28T17:13:07.295192,l, R:12 L:15 X:9
