timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,lc_start-ts_start,lc_end-lc_start,ts_end-lc_end,tslog[next_index][5]
2023-11-17T15:05:08.410257,1,124872,0.5254018306732178,176.19696044921875,0.21424999833106995,0.0,5,6216.61376953125,-1.7549998760223389,4891.04150390625,4.750401496887207,-4182.89990234375,,2023-11-17T15:05:09.869589,1,126331,02:06.3,0,177.4915008544922,0,0,5,6237.088867,-2.48657465,4830.886719,4.624687194824219,-4143.947754,right start,,2023-11-17T15:05:10.850589,1,127312,02:07.3,0,173.43016052246094,0,0,5,6095.618652,-1.259765625,4790.05127,4.721751689910889,-4119.112305,end,,2023-11-17T15:05:10.120488,1,126579,0.5256638526916504,176.4960479736328,0.0,0.0,5,6203.6396484375,-0.5399999618530273,4820.4638671875,4.65212869644165,-4137.708984375,,1.454757,0.981,-0.722125,1
2023-11-17T15:05:17.992555,1,134454,0.5265164971351624,89.68340301513672,0.16269999742507935,0.0,4,4059.6767578125,-0.13499999046325684,4592.216796875,5.190048694610596,-3988.542724609375,,2023-11-17T15:05:19.923589,1,136385,02:16.4,0,92.76146697998047,0.11599422246217728,0,4,4192.355957,-4.013814926,4552.109375,5.200391769,-3960.971924,left start,,2023-11-17T15:05:21.161589,1,137623,02:17.6,0,92.02304077148438,0.16862745583057404,0,4,4168,4.183189392089844,4526.791016,5.184782028198242,-3941.942627,end,,2023-11-17T15:05:20.014252,1,136476,0.5266751646995544,92.65904235839844,0.0,0.0,4,4175.45947265625,-2.0249998569488525,4550.265625,5.197431564331055,-3959.537841796875,,1.923111,1.238,-1.138226,1
2023-11-17T15:05:27.187964,1,143649,0.5272732377052307,97.07313537597656,0.0,0.0,4,4374.71923828125,-0.13499999046325684,4391.109375,5.250269412994385,-3851.55126953125,,2023-11-17T15:05:29.104589,1,145566,02:25.6,0,93.30479431152344,0.13725490868091583,0,4,4220,-6.744634151,4349.890625,5.252214431762695,-3822.420898,left start,,2023-11-17T15:05:29.833589,1,146295,02:26.3,0,93.28623962402344,0.1411764770746231,0,4,4220,11.3359375,4335.26709,5.232091426849365,-3810.422852,end,,2023-11-17T15:05:30.153864,1,146613,0.5275139212608337,93.30282592773438,0.14285001158714294,0.0,4,4219.6337890625,10.529999732971191,4328.7353515625,5.226632595062256,-3805.42529296875,,1.893041,0.729,0.339345,1
2023-11-17T15:05:41.259502,1,157719,0.5283125638961792,70.92098236083984,0.0,0.0,3,4611.72412109375,-0.809999942779541,4114.4921875,5.33549690246582,-3663.046142578125,,2023-11-17T15:05:43.346589,1,159808,02:39.8,0,71.91940307617188,0.18431372940540314,0,3,4712,4.295311450958252,4080.049805,5.400947093963623,-3641.365479,right start,,2023-11-17T15:05:44.682589,1,161144,02:41.1,0,79.43048095703125,0.2823529541492462,0,3,5244.730957,-7.6457057,4055.804688,5.573072910308838,-3627.577637,end,,2023-11-17T15:05:44.958403,1,161418,0.5285433530807495,81.33434295654297,0.2857000231742859,0.0,3,5365.02294921875,-7.3349995613098145,4050.580078125,5.6212334632873535,-3624.421142578125,,2.067382,1.336,0.296262,1
2023-11-17T15:05:47.923188,1,164385,0.5287825465202332,104.6740951538086,0.3571000099182129,0.0,4,4780.42529296875,-0.4049999713897705,3985.81396484375,6.619567394256592,-3582.255126953125,,2023-11-17T15:05:49.149589,1,165611,02:45.6,0,112.12891387939453,0,0,4,5044,4.717429161071777,3954.613281,7.382319927215576,-3562.313965,right start,,2023-11-17T15:05:50.006589,1,166468,02:46.5,0,108.85743713378906,0,0,4,4900,-9.993472099,3931.695068359375,8.051567077636719,-3549.414063,end,,2023-11-17T15:05:52.298420,1,168759,0.5291875004768372,104.98020935058594,0.13885000348091125,0.0,4,4743.5205078125,0.13499999046325684,3874.91650390625,9.886639595031738,-3512.45361328125,,1.201657,0.857,2.307575,1
2023-11-17T15:06:30.123332,1,206583,0.5319114327430725,69.56694793701172,0.05555000901222229,0.0,3,4532.29736328125,-1.6649999618530273,3140.131103515625,2.654233932495117,-3025.059814453125,,2023-11-17T15:06:31.588589,1,208050,03:28.0,0,73.17991638183594,0.250980407,0,3,4817.226074,-9.671875,3116.866943359375,2.001237154006958,-3008.170166,left start,,2023-11-17T15:06:32.462589,1,208924,03:28.9,0,76.73929595947266,0,0,3,4984,13.607620239257812,3102.70752,1.5704220533370972,-2996.458496,end,,2023-11-17T15:06:31.867417,1,208329,0.5320177674293518,74.95217895507812,0.24994999170303345,0.0,3,4933.8310546875,-6.2099995613098145,3112.44140625,1.8682204484939575,-3004.5361328125,,1.454666,0.874,-0.588094,1
2023-11-17T15:06:37.531131,1,213990,0.532379150390625,79.94904327392578,0.48010000586509705,0.0,3,5359.73388671875,-0.9899999499320984,3016.4375,-0.6193332076072693,-2937.55615234375,,2023-11-17T15:06:37.832589,1,214294,03:34.3,0,84.95954895019531,0.49803921580314636,0,3,5710.07959,-10.75,3010.656494140625,-0.763596535,-2933.626953,left start,,2023-11-17T15:06:39.112589,1,215574,03:35.6,0,103.0244141,0.4872325658798218,0,4,4729.003418,10.042854309082031,2983.576416015625,-1.506456971,-2913.16333,end,,2023-11-17T15:06:38.508772,1,214968,0.5324530601501465,96.3964614868164,0.5077999830245972,0.0,3,6447.59912109375,-6.2099995613098145,2996.916015625,-1.128577470779419,-2923.6220703125,,0.289383,1.28,-0.586392,1
2023-11-17T15:06:49.201770,1,225663,0.5333558917045593,96.6834945678711,0.1547500193119049,0.0,4,4372.310546875,0.7199999690055847,2754.44189453125,-1.9910328388214111,-2759.823486328125,,2023-11-17T15:06:50.956589,1,227418,03:47.4,0,97.52451324,0.1764705926179886,0,4,4412,0.19245553016662598,2714.346923828125,-1.907046676,-2734.696533,right start,,2023-11-17T15:06:57.186589,1,233648,03:53.6,0,99.30522155761719,0.14509804546833038,0,4,4488,-1.889648438,2573.311523,-1.449746728,-2635.98291,end Curve korehanaikana,,2023-11-17T15:06:51.607241,1,228069,0.5335564017295837,98.2719955444336,0.21825000643730164,0.0,4,4456.8515625,-1.034999966621399,2699.189697265625,-1.8702669143676758,-2725.616455078125,,1.736774,6.23,-5.570415,1
2023-11-17T15:07:06.939117,1,243399,0.5348599553108215,102.00624084472656,0.20235002040863037,0.0,4,4623.0224609375,1.529999852180481,2368.573974609375,-0.9705732464790344,-2463.20166015625,,2023-11-17T15:07:08.483589,1,244945,04:04.9,0,104.2160873413086,0.20000000298023224,0,4,4724,5.204872131347656,2334.564941,-0.964939773,-2434.797852,right start,,2023-11-17T15:07:09.765589,1,246227,04:06.2,0,105.83247375488281,0,0,4,4764,-5.984375,2304.926025390625,-0.968009114,-2411.878418,end,,2023-11-17T15:07:10.305049,1,246765,0.5351606011390686,104.39247131347656,0.04365000128746033,0.0,4,4705.822265625,-5.399999618530273,2292.700927734375,-0.9713488221168518,-2402.043212890625,,1.534392,1.282,0.551647,1
2023-11-17T15:07:16.878970,1,253341,0.5357464551925659,105.32856750488281,0.13490000367164612,0.0,4,4758.75,1.529999852180481,2149.21337890625,-6.359845161437988,-2277.495849609375,,2023-11-17T15:07:18.188589,1,254650,04:14.6,0,105.68519592285156,0,0,4,4758.86377,-5.12084198,2120.215087890625,-7.917701721,-2252.257568,left start,,2023-11-17T15:07:19.363589,1,255825,04:15.8,0,103.95240020751953,0,0,4,4684,3.193359375,2095.602051,-9.304178238,-2228.504883,end,,2023-11-17T15:07:18.278240,1,254739,0.5358729958534241,105.573974609375,0.0,0.0,4,4752.61474609375,-4.09499979019165,2118.3349609375,-8.02373218536377,-2250.45947265625,,1.302052,1.175,-1.080118,1
