timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,lc_start-ts_start,lc_end-lc_start,ts_end-lc_end,tslog[next_ts_index][5]
2023-11-28T19:24:57.248475,1,834657,0.5300797820091248,100.84961700439453,0.11505001783370972,0.0,4,4555.84765625,-1.529999852180481,3634.035888671875,13.37137508392334,-3352.80419921875,,2023-11-28T19:24:58.717467,1,836128,13:56.1,0,100.08265686035156,0.11372549086809158,0,4,4520,-3.94035697,3600.409423828125,13.178253173828125,-3329.261475,left start,,2023-11-28T19:24:59.824467,1,837235,13:57.2,0,99.66843414,0.11372549086809158,0,4,4501.060547,7.2890625,3575.945068359375,12.90740681,-3310.677246,end,,2023-11-28T19:24:57.505468,1,834912,0.5301018953323364,100.71147918701172,0.11505001783370972,0.0,4,4547.400390625,-1.619999885559082,3628.110595703125,13.353080749511719,-3348.823486328125,,1.451726,1.107,-2.308943,5
2023-11-28T19:25:02.602565,1,840009,0.5305390954017639,100.8584976196289,0.11505001783370972,0.0,4,4555.90087890625,-0.5399999618530273,3512.402099609375,11.870580673217773,-3267.15966796875,,2023-11-28T19:25:03.405467,1,840816,14:00.8,0,100.80941772460938,0.10588235408067703,0,4,4552,-2.96875,3493.783447265625,11.451058387756348,-3254.298828,left start,,2023-11-28T19:25:04.869467,1,842280,14:02.3,0,100.67921447753906,0.10980392247438431,0,4,4548,7.530418872833252,3460.822021484375,10.57687759399414,-3230.007324,end,,2023-11-28T19:25:02.756940,1,840165,0.5305525064468384,100.86709594726562,0.11505001783370972,0.0,4,4557.32080078125,-0.5399999618530273,3508.80078125,11.7913236618042,-3264.684326171875,,0.794485,1.464,-2.098894,5
2023-11-28T19:25:14.685111,1,852093,0.531596839427948,102.55134582519531,0.10315001010894775,0.0,4,4630.08154296875,0.26999998092651367,3229.078125,4.713911056518555,-3075.221923828125,,2023-11-28T19:25:16.415467,1,853826,14:13.8,0,102.08110046386719,0.10196078568696976,0,4,4608,3.941685676574707,3187.459716796875,3.694751024246216,-3048.865967,right start,,2023-11-28T19:25:17.410467,1,854821,14:14.8,0,102.60139465332031,0.1736845225095749,0,4,4642.841797,-7.031972885,3162.961181640625,3.124152660369873,-3034.861084,end,,2023-11-28T19:25:14.885393,1,852294,0.5316147208213806,102.50291442871094,0.10315001010894775,0.0,4,4627.9794921875,0.44999998807907104,3224.307861328125,4.5935893058776855,-3072.059814453125,,1.718282,0.995,-2.524547,5
2023-11-28T19:25:26.924701,1,864333,0.5326952934265137,99.57933807373047,0.15870001912117004,0.0,4,4505.35009765625,0.8549998998641968,2930.91943359375,-2.2201027870178223,-2881.097900390625,,2023-11-28T19:25:28.836467,1,866247,14:26.2,0,99.88993835449219,0.14352856576442719,0,4,4516,2.176133155822754,2885.967529296875,-2.137214184,-2852.951904,right start,,2023-11-28T19:25:29.860467,1,867271,14:27.3,0,99.87364196777344,0.16862745583057404,0,4,4520,-4.648257256,2861.314453,-2.068982601,-2838.823975,end,,2023-11-28T19:25:27.325286,1,864732,0.5327293872833252,99.68110656738281,0.15870001912117004,0.0,4,4510.6240234375,2.249999761581421,2921.7236328125,-2.215009927749634,-2874.984375,,1.896984,1.024,-2.515748,5
2023-11-28T19:25:34.886109,1,872295,0.5333846807479858,102.672119140625,0.13490000367164612,0.0,4,4638.83544921875,0.35999998450279236,2742.634765625,-1.8678970336914062,-2760.853759765625,,2023-11-28T19:25:36.209467,1,873620,14:33.6,0,102.21752166748047,0.13333334028720856,0,4,4620,-4.592690945,2711.678223,-1.829430342,-2739.279785,left start,,2023-11-28T19:25:37.224467,1,874635,14:34.6,0,101.95880126953125,0.13333334028720856,0,4,4608,5.968340873718262,2688.839844,-1.820001721,-2721.727783,end Curve,,2023-11-28T19:25:35.053474,1,872463,0.5333994030952454,102.62451171875,0.13490000367164612,0.0,4,4637.88525390625,-0.35999998450279236,2738.659912109375,-1.860913634300232,-2758.180419921875,,1.307899,1.015,-2.143019,5
2023-11-28T19:25:39.129027,1,876537,0.5337552428245544,101.39346313476562,0.13490000367164612,0.0,4,4583.4345703125,-3.7799997329711914,2645.07666015625,-1.7208497524261475,-2690.6064453125,,2023-11-28T19:25:39.819467,1,877230,14:37.2,0,101.11314392089844,0.13333334028720856,0,4,4570.412109,-7.055197239,2629.618164,-1.67484498,-2678.726318,left start,,2023-11-28T19:25:40.929467,1,878340,14:38.3,0,100.75569915771484,0.13333334028720856,0,4,4556,5.578125,2605.887695,-1.59818244,-2658.574951,end Curve,,2023-11-28T19:25:39.351833,1,876759,0.5337746143341064,101.32427215576172,0.13490000367164612,0.0,4,4579.70166015625,-4.139999866485596,2640.075927734375,-1.706122636795044,-2686.85693359375,,0.670963,1.11,-1.576084,5
2023-11-28T19:25:43.548572,1,880956,0.5341368913650513,99.81219482421875,0.1269499957561493,0.0,4,4510.18994140625,-1.5749999284744263,2549.073486328125,-1.3517718315124512,-2612.86328125,,2023-11-28T19:25:44.929467,1,882340,14:42.3,0,99.06143188476562,0.125490203,0,4,4478.736328,2.765392780303955,2519.074219,-1.218879819,-2589.131836,right start,,2023-11-28T19:25:45.956467,1,883367,14:43.4,0,98.57733154296875,0.125490203,0,4,4456,-5.520086288,2496.473876953125,-1.132431507,-2572.280518,end,,2023-11-28T19:25:43.705562,1,881115,0.5341506004333496,99.73429870605469,0.1269499957561493,0.0,4,4507.525390625,-0.8549998998641968,2545.66845703125,-1.336405873298645,-2610.066162109375,,1.361446,1.027,-2.245097,5
2023-11-28T19:25:59.308101,1,896715,0.5354806780815125,101.19074249267578,0.12299999594688416,0.0,4,4571.8671875,-0.8999999761581421,2216.140625,-2.862342119216919,-2331.798095703125,,2023-11-28T19:26:01.271467,1,898682,14:58.7,0,102.79887390136719,0.12156862765550613,0,4,4644,4.193784236907959,2173.514892578125,-5.119045258,-2295.941162,right start,,2023-11-28T19:26:02.345467,1,899756,14:59.8,0,103.25315856933594,0,0,4,4654.451172,-6.876754761,2149.01416,-6.371517658,-2277.311035,end,,2023-11-28T19:25:59.476252,1,896886,0.5354955196380615,101.33866119384766,0.12299999594688416,0.0,4,4577.3671875,-0.809999942779541,2212.510498046875,-3.052441358566284,-2328.64794921875,,1.955474,1.074,-2.853334,5
2023-11-28T19:26:05.871754,1,903279,0.536051869392395,98.78922271728516,0.0,0.0,4,4454.00341796875,-0.5399999618530273,2074.004150390625,-10.381807327270508,-2213.116455078125,,2023-11-28T19:26:06.834467,1,904245,15:04.2,0,97.59860229492188,0,0,4,4396,-3.750542402,2054.407227,-11.45017052,-2195.509277,left start,,2023-11-28T19:26:08.454467,1,905865,15:05.9,0,95.85945892333984,0.045611415058374405,0,4,4324,4.2265625,2022.7650146484375,-13.21305084,-2165.701172,end,,2023-11-28T19:26:06.039978,1,903447,0.5360659956932068,98.58442687988281,0.0,0.0,4,4443.68212890625,-1.4849998950958252,2070.5537109375,-10.56534481048584,-2210.072021484375,,0.944861,1.62,-2.38413,5
2023-11-28T19:26:13.503012,1,910911,0.5367099642753601,104.24235534667969,0.0,0.0,4,4696.35009765625,0.7199999690055847,1914.414306640625,-18.621543884277344,-2070.991455078125,,2023-11-28T19:26:15.091467,1,912502,15:12.5,0,101.1025619506836,0.082352944,0,4,4564,3.724074363708496,1879.3768310546875,-19.39712524,-2042.20813,right start,,2023-11-28T19:26:16.228467,1,913639,15:13.6,0,101.17523956298828,0.20000000298023224,0,4,4584,-4.100648403,1854.0118408203125,-19.58001709,-2022.84436,end,,2023-11-28T19:26:13.671343,1,911079,0.5367249250411987,103.91213989257812,0.0,0.0,4,4681.43505859375,0.7649999260902405,1910.7269287109375,-18.73331069946289,-2067.832763671875,,1.5756,1.137,-2.531985,5
