Time Stamp,2023-11-20T17:12:38.049100,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:12:59.805239,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:12:59.906542,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:13:01.965424,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:13:02.066568,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:13:12.276735,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:13:38.505919,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:13:39.530004,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:13:39.652365,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:13:45.714494,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:13:45.926836,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:13:50.538838,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:14:05.197508,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:14:05.299180,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:14:08.773018,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:14:08.874464,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:14:20.146903,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:14:24.360783,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:14:24.470836,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:14:31.213336,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:14:31.315481,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:14:36.522913,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:02.102996,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:15:06.440257,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:15:06.541946,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:11.118368,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:15:11.370873,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:15:11.789676,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:15:11.891531,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:15:12.522961,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:15:12.624836,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:14.738694,Pin,13,Mode,1,left on
Time Stamp,2023-11-20T17:15:17.802080,Pin,12,Mode,1,right on
Time Stamp,2023-11-20T17:15:17.903785,Pin,12,Mode,1,right off
Time Stamp,2023-11-20T17:15:20.349865,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:23.577406,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:26.935807,Pin,13,Mode,1,left off
Time Stamp,2023-11-20T17:15:27.488425,Pin,13,Mode,1,left on
