timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,,lc_start-ts_start,lc_end-lc_start,ts_end-lc_end,tslog[next_index][5]
2023-11-16T14:54:10.283295,1,701826,0.56170254945755,66.27664184570312,0.0,0.0,3,4313.443359375,-0.6299999356269836,3409.319580078125,1.5917890071868896,4498.974609375,,2023-11-16T14:54:11.908351,1,703452,11:43.5,0.561792254,61.969295501708984,0.1461930274963379,0,3,4050,-5.425920963,3426.094482421875,1.6874959468841553,4522.484863,left start,,2023-11-16T14:54:13.133351,1,704677,11:44.7,0.5618599057197571,68.29552459716797,0.30980393290519714,0,3,4522.49707,0.983819842,3439.531738,1.7610585689544678,4539.796875,end,,2023-11-16T14:54:16.820501,1,708363,0.5621117949485779,81.77771759033203,0.12299999594688416,0.0,3,5338.0791015625,-1.1699999570846558,3484.291015625,2.0116400718688965,4607.65625,,1.617628,1.225,3.698258,3
2023-11-16T14:54:16.442089,1,707985,0.5620852112770081,81.94722747802734,0.1269499957561493,0.0,3,5346.10595703125,0.08999999612569809,3479.6767578125,1.9877585172653198,4600.404296875,,2023-11-16T14:54:17.705351,1,709249,11:49.2,0.56217438,82.29959106445312,0.22745098173618317,0,3,5404.285156,-6.630613327,3495.484619140625,2.0806491374969482,4624.373047,left start,,2023-11-16T14:54:19.170351,1,710714,11:50.7,0.16724176704883575,90.99290466308594,0.30980393290519714,0,3,6006.283691,1.529296875,3515.961426,2.1944079399108887,4652.833008,end,,2023-11-16T14:54:24.970849,1,716514,0.5627414584159851,67.82585144042969,0.0,0.0,3,4411.94384765625,4.409999847412109,3595.982421875,2.66133451461792,4776.7177734375,,1.250677,1.465,5.811615,3
2023-11-16T14:54:24.482867,1,716025,0.5627126097679138,69.32177734375,0.0,0.0,3,4507.31103515625,2.3399999141693115,3590.9912109375,2.628028154373169,4768.85546875,,2023-11-16T14:54:26.734351,1,718278,11:58.3,0.16780586540699005,77.32106018066406,0.41960784792900085,0,3,5137.117676,-2.88030076,3613.689453,2.777519941329956,4805.930664,right start,,2023-11-16T14:54:30.266351,1,721810,12:01.8,0.5630975365638733,87.79866790771484,0.4431372582912445,0,3,5861.691895,1.7400357723236084,3655.184814453125,3.0262715816497803,4874.800293,end,,2023-11-16T14:54:27.925705,1,719469,0.5629324316978455,83.2562026977539,0.0,0.0,3,5408.2578125,7.109999656677246,3628.454833984375,2.8533523082733154,4828.9736328125,,2.244037,3.532,-2.336253,3
2023-11-16T14:55:05.440179,1,756984,0.5661624073982239,84.44340515136719,0.31744998693466187,0.0,4,3857.303955078125,-5.669999599456787,4183.5361328125,1.6012564897537231,5703.806640625,,2023-11-16T14:55:07.679351,1,759223,12:39.2,0.5663427710533142,100.85951232910156,0.3201247453689575,0,4,4605.305664,0.2443821132183075,4213.833008,1.5367649793624878,5752.43457,right start,,2023-11-16T14:55:08.707351,1,760251,12:40.3,0.5664328336715698,99.00728607177734,0,0,4,4459.151855,-7.2421875,4227.472168,1.5323635339736938,5777.629883,end,,2023-11-16T14:55:42.248777,1,793791,0.5687090158462524,72.20548248291016,0.11505001783370972,0.0,3,4713.51171875,-3.1049997806549072,4552.78515625,-6.701343059539795,6417.1396484375,,2.236015,1.028,33.556847,3
2023-11-16T14:55:41.915547,1,793458,0.5686877369880676,71.96527862548828,0.11505001783370972,0.0,3,4697.09619140625,-1.3049999475479126,4550.9990234375,-6.485114574432373,6410.71923828125,,2023-11-16T14:55:43.028351,1,794572,13:14.6,0.5687592029571533,72.72784423828125,0.11372549086809158,0,3,4744,-10.06754971,4557.412109,-7.201290131,6432.158691,left start,,2023-11-16T14:55:43.854351,1,795398,13:15.4,0.5688121914863586,73.83418273925781,0.22243733704090118,0,3,4849.442871,14.386422157287598,4563.05957,-7.736074448,6447.95459,end  2shasen Curve,,2023-11-16T14:55:45.621141,1,797166,0.5689350962638855,85.03353118896484,0.26190000772476196,0.0,3,5593.7041015625,1.8899998664855957,4572.70947265625,-8.980921745300293,6485.6142578125,,1.092091,0.826,1.771993,3
2023-11-16T14:55:56.083576,1,807627,0.5696969628334045,62.332008361816406,0.0,0.0,3,4056.88525390625,-2.069999933242798,4598.04052734375,-16.649375915527344,6723.6650390625,,2023-11-16T14:55:58.113351,1,809657,13:29.7,0.1747765988111496,66.69931793,0.2235294133424759,0,3,4387.761719,-4.552279949,4596.65625,-17.78184128,6759.148926,right start,,2023-11-16T14:55:59.572351,1,811116,13:31.1,0.5699014663696289,75.35407257080078,0.2793654799461365,0,3,4973.905762,-0.299906164,4593.816406,-18.69260406,6787.645508,end Curve,,2023-11-16T14:56:20.337874,1,831882,0.5713821649551392,85.3245849609375,0.0,0.0,3,5529.80517578125,-1.3499999046325684,4510.3994140625,-22.975839614868164,7240.779296875,,1.997568,1.459,20.773478,3
2023-11-16T14:56:20.004302,1,831546,0.5713563561439514,86.65071868896484,0.0,0.0,3,5631.17138671875,1.4849998950958252,4512.25732421875,-23.0230770111084,7232.97412109375,,2023-11-16T14:56:21.143351,1,832687,13:52.7,0.5714425444602966,82.16217803955078,0,0,3,5334.710449,-11.3828125,4506.461914,-22.88961792,7259.098633,left start,,2023-11-16T14:56:22.060351,1,833604,13:53.6,0.1764776110649109,78.79295349121094,0,0,3,5118.258301,12.97680950164795,4503.730957,-22.82578087,7279.396484,end,,2023-11-16T14:56:31.965417,1,843510,0.5724407434463501,83.59217071533203,0.0,0.0,4,3769.7265625,5.669999599456787,4435.8232421875,-22.201229095458984,7561.9345703125,,1.13312,0.917,9.917271,3
2023-11-16T14:56:31.697714,1,843240,0.5724205374717712,84.15980529785156,0.0,0.0,4,3794.507568359375,1.5749999284744263,4437.212890625,-22.187864303588867,7555.80029296875,,2023-11-16T14:56:33.287351,1,844831,14:04.8,0.17750857770442963,80.83853912353516,0,0,4,3646.213379,3.742198944091797,4427.566406,-22.3148365,7590.94043,right start,,2023-11-16T14:56:34.193351,1,845737,14:05.7,0.5726019740104675,79.07162475585938,0,0,4,3568,-7.6484375,4421.011719,-22.39262199,7609.975098,end,,2023-11-16T15:01:24.268857,1,1135812,0.5223462581634521,37.46437454223633,0.0,0.0,2,4290.5654296875,21.419998168945312,5769.041015625,19.27723503112793,-4587.46630859375,,1.558997,0.906,290.083814,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
