timestamp,lapCount,lapTime,distance,speed,throttle,brake,gear,RPM,steer,x,y,z
2023-11-22T14:32:45.919561,1,7317,0.5219318270683289,0.10061310976743698,0.0,0.0,0,800.0023193359375,-8.09999942779541,5888.708984375,24.146263122558594,-4650.97607421875
2023-11-22T14:32:45.940057,1,7338,0.5219318270683289,0.10221219062805176,0.0,0.0,0,800.002197265625,-8.09999942779541,5888.708984375,24.146268844604492,-4650.97607421875
2023-11-22T14:32:45.961502,1,7359,0.5219318270683289,0.005110372323542833,0.0,0.0,0,800.002197265625,-8.09999942779541,5888.708984375,24.146276473999023,-4650.97607421875
2023-11-22T14:32:45.985217,1,7383,0.5219318270683289,0.10131879150867462,0.0,0.0,0,800.0021362304688,-8.09999942779541,5888.708984375,24.146282196044922,-4650.97607421875
2023-11-22T14:32:46.007003,1,7404,0.5219318270683289,0.10397033393383026,0.0,0.0,0,800.0020751953125,-8.09999942779541,5888.708984375,24.146289825439453,-4650.97607421875
2023-11-22T14:32:46.028489,1,7425,0.5219318270683289,0.09797842055559158,0.0,0.0,0,800.0020751953125,-8.09999942779541,5888.708984375,24.146297454833984,-4650.97607421875
2023-11-22T14:32:46.051712,1,7449,0.5219318270683289,0.09588446468114853,0.0,0.0,0,800.001953125,-8.09999942779541,5888.708984375,24.146305084228516,-4650.97607421875
2023-11-22T14:32:46.073361,1,7470,0.5219318270683289,0.011060571298003197,0.0,0.0,0,800.001953125,-8.09999942779541,5888.708984375,24.14631462097168,-4650.97607421875
2023-11-22T14:32:46.094903,1,7494,0.5219318270683289,0.005077590234577656,0.0,0.0,0,800.001953125,-8.09999942779541,5888.708984375,24.14632225036621,-4650.97607421875
2023-11-22T14:32:46.117932,1,7515,0.5219318270683289,0.0956788957118988,0.0,0.0,0,800.0018920898438,-8.09999942779541,5888.708984375,24.14632797241211,-4650.97607421875
2023-11-22T14:32:46.140171,1,7539,0.5219318270683289,0.1004931628704071,0.0,0.0,0,800.0018920898438,-8.09999942779541,5888.708984375,24.146339416503906,-4650.97607421875
2023-11-22T14:32:46.161233,1,7560,0.5219318270683289,0.00689926091581583,0.0,0.0,0,800.0018310546875,-8.09999942779541,5888.708984375,24.14634895324707,-4650.97607421875
2023-11-22T14:32:46.185405,1,7581,0.5219318270683289,0.09784632921218872,0.0,0.0,0,800.0018310546875,-8.09999942779541,5888.708984375,24.14635467529297,-4650.97607421875
2023-11-22T14:32:46.206388,1,7605,0.5219318270683289,0.015217404812574387,0.0,0.0,0,800.001708984375,-8.09999942779541,5888.708984375,24.146364212036133,-4650.97607421875
2023-11-22T14:32:46.228413,1,7626,0.5219318270683289,0.0971139520406723,0.0,0.0,0,800.0016479492188,-8.09999942779541,5888.708984375,24.146371841430664,-4650.97607421875
2023-11-22T14:32:46.252573,1,7650,0.5219318270683289,0.005758629646152258,0.0,0.0,0,800.0016479492188,-8.09999942779541,5888.708984375,24.146381378173828,-4650.97607421875
2023-11-22T14:32:46.273648,1,7671,0.5219318270683289,0.09744938462972641,0.0,0.0,0,800.0015869140625,-8.09999942779541,5888.708984375,24.146387100219727,-4650.97607421875
2023-11-22T14:32:46.294708,1,7692,0.5219318270683289,0.10013391077518463,0.0,0.0,0,800.0015869140625,-8.09999942779541,5888.708984375,24.146394729614258,-4650.97607421875
2023-11-22T14:32:46.318084,1,7716,0.5219318270683289,0.009847374632954597,0.0,0.0,0,800.0015258789062,-8.09999942779541,5888.708984375,24.146404266357422,-4650.97607421875
2023-11-22T14:32:46.339773,1,7737,0.5219318270683289,0.09884142875671387,0.0,0.0,0,800.0015258789062,-8.09999942779541,5888.708984375,24.146411895751953,-4650.97607421875
2023-11-22T14:32:46.361871,1,7761,0.5219318270683289,0.014994357712566853,0.0,0.0,0,800.0014038085938,-8.09999942779541,5888.708984375,24.146421432495117,-4650.97607421875
2023-11-22T14:32:46.385455,1,7782,0.5219318270683289,0.10014141350984573,0.0,0.0,0,800.0014038085938,-8.09999942779541,5888.708984375,24.14642906188965,-4650.97607421875
2023-11-22T14:32:46.406995,1,7806,0.5219318270683289,0.10407506674528122,0.0,0.0,0,800.0014038085938,-8.09999942779541,5888.708984375,24.146438598632812,-4650.97607421875
2023-11-22T14:32:46.427869,1,7827,0.5219318270683289,0.010219026356935501,0.0,0.0,0,800.0013427734375,-8.09999942779541,5888.708984375,24.146448135375977,-4650.97607421875
2023-11-22T14:32:46.452076,1,7851,0.5219318270683289,0.010511347092688084,0.0,0.0,0,800.0013427734375,-8.09999942779541,5888.708984375,24.146459579467773,-4650.97607421875
2023-11-22T14:32:46.473599,1,7872,0.5219318270683289,0.004492016043514013,0.0,0.0,0,800.0012817382812,-8.09999942779541,5888.708984375,24.146465301513672,-4650.97607421875
2023-11-22T14:32:46.495257,1,7893,0.5219318270683289,0.010748064145445824,0.0,0.0,0,800.0012817382812,-8.09999942779541,5888.708984375,24.146474838256836,-4650.97607421875
2023-11-22T14:32:46.518067,1,7917,0.5219318270683289,0.010040483437478542,0.0,0.0,0,800.0011596679688,-8.09999942779541,5888.708984375,24.146486282348633,-4650.97607421875
2023-11-22T14:32:46.540796,1,7938,0.5219318270683289,0.00935348216444254,0.0,0.0,0,800.0011596679688,-8.09999942779541,5888.708984375,24.14649772644043,-4650.97607421875
2023-11-22T14:32:46.562580,1,7962,0.5219318270683289,0.10414706915616989,0.0,0.0,0,800.0011596679688,-8.09999942779541,5888.708984375,24.146503448486328,-4650.97607421875
