2023-11-29T12:04:45.615605,r, R:1 L:0 X:0
2023-11-29T12:05:03.441749,r, R:2 L:0 X:0
2023-11-29T12:05:16.684189,l, R:2 L:1 X:0
2023-11-29T12:05:25.546483,l, R:2 L:2 X:0
2023-11-29T12:05:34.875229,r, R:3 L:2 X:0
2023-11-29T12:05:50.689122,r, R:4 L:2 X:0
2023-11-29T12:06:12.669305,l, R:4 L:3 X:0
2023-11-29T12:06:27.240311,l, R:4 L:4 X:0
2023-11-29T12:07:00.044350,x, R:4 L:4 X:1
2023-11-29T12:07:33.048657,r, R:5 L:4 X:1
2023-11-29T12:07:49.930930,l, R:5 L:5 X:1
2023-11-29T12:08:05.340263,r, R:6 L:5 X:1
2023-11-29T12:08:23.326209,r, R:7 L:5 X:1
2023-11-29T12:08:34.607186,l, R:7 L:6 X:1
2023-11-29T12:09:28.069051,r, R:8 L:6 X:1
2023-11-29T12:09:38.781546,l, R:8 L:7 X:1
2023-11-29T12:10:03.058468,x, R:8 L:7 X:2
2023-11-29T12:10:16.678686,r, R:9 L:7 X:2
2023-11-29T12:10:31.740848,l, R:9 L:8 X:2
2023-11-29T12:10:39.703606,l, R:9 L:9 X:2
2023-11-29T12:10:52.008180,x, R:9 L:9 X:3
2023-11-29T12:11:11.931235,r, R:10 L:9 X:3
2023-11-29T12:11:35.208389,x, R:10 L:9 X:4
2023-11-29T12:11:43.650169,x, R:10 L:9 X:5
2023-11-29T12:11:58.517452,r, R:11 L:9 X:5
2023-11-29T12:12:27.088059,r, R:12 L:9 X:5
2023-11-29T12:13:00.884969,l, R:12 L:10 X:5
2023-11-29T12:13:09.720499,x, R:12 L:10 X:6
2023-11-29T12:13:16.126300,x, R:12 L:10 X:7
2023-11-29T12:13:25.381208,r, R:13 L:10 X:7
2023-11-29T12:13:36.655899,r, R:14 L:10 X:7
2023-11-29T12:13:55.071494,l, R:14 L:11 X:7
2023-11-29T12:14:06.990389,l, R:14 L:12 X:7
