2023-12-06T17:10:15.105652,c, R:0 L:0 X:0 c:1
2023-12-06T17:10:38.222673,r, R:1 L:0 X:0 c:1
2023-12-06T17:10:50.310250,x, R:1 L:0 X:1 c:1
2023-12-06T17:11:17.417819,r, R:2 L:0 X:1 c:1
2023-12-06T17:11:22.568108,l, R:2 L:1 X:1 c:1
2023-12-06T17:11:29.327772,r, R:3 L:1 X:1 c:1
2023-12-06T17:11:40.092103,l, R:3 L:2 X:1 c:1
2023-12-06T17:11:45.818665,r, R:4 L:2 X:1 c:1
2023-12-06T17:11:50.954339,l, R:4 L:3 X:1 c:1
2023-12-06T17:11:58.707985,r, R:5 L:3 X:1 c:1
2023-12-06T17:12:04.905025,l, R:5 L:4 X:1 c:1
2023-12-06T17:12:17.298059,l, R:5 L:5 X:1 c:1
2023-12-06T17:12:25.772496,x, R:5 L:5 X:2 c:1
2023-12-06T17:12:33.389121,r, R:6 L:5 X:2 c:1
2023-12-06T17:12:41.459920,l, R:6 L:6 X:2 c:1
2023-12-06T17:12:48.598749,r, R:7 L:6 X:2 c:1
2023-12-06T17:13:03.919021,c, R:7 L:6 X:2 c:2
2023-12-06T17:13:26.066799,x, R:7 L:6 X:3 c:2
2023-12-06T17:13:46.196409,x, R:7 L:6 X:4 c:2
2023-12-06T17:13:48.159967,x, R:7 L:6 X:5 c:2
2023-12-06T17:13:53.549073,r, R:8 L:6 X:5 c:2
2023-12-06T17:13:58.608624,l, R:8 L:7 X:5 c:2
2023-12-06T17:14:06.569985,r, R:9 L:7 X:5 c:2
2023-12-06T17:14:11.503149,l, R:9 L:8 X:5 c:2
2023-12-06T17:14:16.970343,x, R:9 L:8 X:6 c:2
2023-12-06T17:14:38.161663,x, R:9 L:8 X:7 c:2
2023-12-06T17:14:43.164189,x, R:9 L:8 X:8 c:2
2023-12-06T17:14:56.781879,x, R:9 L:8 X:9 c:2
2023-12-06T17:15:05.335995,r, R:10 L:8 X:9 c:2
2023-12-06T17:15:10.622943,r, R:11 L:8 X:9 c:2
2023-12-06T17:15:27.932036,c, R:11 L:8 X:9 c:3
2023-12-06T17:15:41.733392,c, R:11 L:8 X:9 c:4
2023-12-06T17:15:56.042474,l, R:11 L:9 X:9 c:4
2023-12-06T17:16:06.949969,r, R:12 L:9 X:9 c:4
2023-12-06T17:16:10.501732,l, R:12 L:10 X:9 c:4
2023-12-06T17:16:16.122631,r, R:13 L:10 X:9 c:4
2023-12-06T17:16:19.878613,l, R:13 L:11 X:9 c:4
2023-12-06T17:16:23.717900,r, R:14 L:11 X:9 c:4
2023-12-06T17:16:34.474544,l, R:14 L:12 X:9 c:4
2023-12-06T17:16:40.018726,r, R:15 L:12 X:9 c:4
2023-12-06T17:16:47.726706,l, R:15 L:13 X:9 c:4
2023-12-06T17:16:57.195812,x, R:15 L:13 X:10 c:4
2023-12-06T17:17:01.378087,l, R:15 L:14 X:10 c:4
2023-12-06T17:17:06.327319,r, R:16 L:14 X:10 c:4
