lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,169155,02:49.2,0,104.34382629394531,0.078431375,0,4,4704,1.619140625,4878.180176,4.733445644378662,-4175.246582,right start,,1,171408,02:51.4,0,113.74652862548828,0.47071510553359985,0,4,5220.129395,-2.565179825,4821.379395,4.6766886711120605,-4140.02002,end
1,186306,03:06.3,0,104.53522491455078,0,0,4,4710.984375,-4.6796875,4440.330078,5.255566120147705,-3886.819336,left start,,1,187882,03:07.9,0,100.27002716064453,0,0,4,4518.716309,3.0813305377960205,4404.070313,5.247551918029785,-3860.455566,end
1,195921,03:15.9,0,95.68218994140625,0,0,4,4310.997559,2.912569761276245,4217.424316,5.348382472991943,-3736.738525,right start,,1,197440,03:17.4,0,99.81624603271484,0.48426103591918945,0,4,4595.892578,-3.912855625,4182.785645,5.400161266326904,-3716.081299,end
1,211914,03:31.9,0,96.78612518310547,0,0,4,4358.203125,-1.169921875,3820.680908203125,11.391275405883789,-3475.53833,left start,,1,214581,03:34.6,0,110.29273223876953,0.30980393290519714,0,4,5025.022461,1.034179688,3759.278809,12.578124046325684,-3432.434326,end
1,233490,03:53.5,0,91.78171539,0,0,4,4136,-1.799804688,3283.155029296875,6.157276153564453,-3114.50708,left start,,1,235951,03:56.0,0,89.17459106445312,0.06666667,0,4,4027.733154296875,3.193359375,3232.985107421875,4.836324214935303,-3078.819336,end
1,239097,03:59.1,0,84.57229614257812,0,0,4,3814.789063,3.6717302799224854,3169.633789,3.2366390228271484,-3036.895752,right start,,1,243564,04:03.6,0,93.88121032714844,0.4156862795352936,0,4,4309.177246,-3.135215998,3079.289794921875,1.082907795906067,-2985.131348,end konogyo nashi
1,246193,04:06.2,0,101.2147216796875,0,0,4,4560,-2.398732424,3018.519775390625,-0.480580717,-2942.923096,left start,,1,247508,04:07.5,0,98.85388946533203,0.15832261741161346,0,4,4468,2.248046875,2989.170654296875,-1.262622714,-2921.196533,end
1,253415,04:13.4,0,98.83837891,0.18431372940540314,0,4,4476,3.599609375,2854.166259765625,-2.085109949,-2831.734863,right start,,1,254732,04:14.7,0,101.5684814453125,0.2940303087234497,0,4,4627.911133,-6.5234375,2822.672607421875,-2.004626274,-2813.240234,end
1,262836,04:22.8,0,103.91961669921875,0,0,4,4680,-3.125360489,2618.977539,-1.607210994,-2675.319092,left start,,1,264868,04:24.9,0,105.2774658203125,0.239215687,0,4,4780,-0.404785156,2573.899902,-1.446063519,-2638.270508,end SlightCurve
1,271205,04:31.2,0,99.90019226074219,0,0,4,4500,5.655274391174316,2430.721435546875,-0.984670818,-2517.682861,right start,,1,272136,04:32.1,0,98.78021240234375,0.22439813613891602,0,4,4476,-4.127200127,2410.116211,-0.96750927,-2502.45752,end
