lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,91698,01:31.7,0,86.59360504,0.14509804546833038,0,3,5659.290527,2.9477357864379883,5127.885742,8.902321815490723,-4324.763184,right start,,1,93237,01:33.2,0,87.28430176,0,0,3,5666.263672,-5.71484375,5094.296875,7.992900848388672,-4308.453613,end SlightCurve
1,96340,01:36.3,0,78.68116760253906,0,0,3,5114.703613,-5.369240761,5032.766113,6.199341773986816,-4272.285156,left start,,1,98438,01:38.4,0,74.99005126953125,0.11372549086809158,0,3,4892,-0.989746094,4995.916504,5.296430587768555,-4247.412109,end SlightCurve
1,104270,01:44.3,0,74.32088470458984,0.090196081,0,3,4840.032715,1.9802165031433105,4891.828125,4.707358360290527,-4180.192383,right start,,1,106444,01:46.4,0,72.06595611572266,0.078431375,0,3,4696,0.4371669888496399,4853.972656,4.648390293121338,-4157.358887,end
1,112768,01:52.8,0,70.66126251220703,0.062745102,0,3,4600,-3.283203125,4745.71582,4.705702304840088,-4085.298828,left start,,1,114436,01:54.4,0,68.29658508300781,0.070588239,0,3,4452,4.572361946105957,4720.011719,4.704183578491211,-4065.946045,end
1,121885,02:01.9,0,68.97833251953125,0.20122089982032776,0,3,4521.245117,2.9098427295684814,4603.779297,5.095113277435303,-3988.997314,right start,,1,123530,02:03.5,0,74.10673522949219,0.18431372940540314,0,3,4856,-4.453125,4575.41748,5.138911724090576,-3972.502441,end
1,133703,02:13.7,0,69.46695709228516,0.059510488,0,3,4524,-1.754882813,4395.693848,5.228661060333252,-3853.012207,left start,,1,136354,02:16.4,0,72.57017517089844,0.20000000298023224,0,3,4760,3.05859375,4353.916504,5.224346160888672,-3822.921631,end
1,143691,02:23.7,0,80.36930084228516,0.2078431397676468,0,3,5272.253418,4.4005632400512695,4222.910156,5.2952728271484375,-3736.157227,right start,,1,145126,02:25.1,0,83.81781768798828,0.1764705926179886,0,3,5484,-5.998486042,4194.54248,5.338210105895996,-3719.667725,end
1,154874,02:34.9,0,71.13448333740234,0.19607843458652496,0,3,4664,-4.72265625,4024.705566,5.9178900718688965,-3606.670166,left start,,1,156559,02:36.6,0,75.26411437988281,0.18907491862773895,0,3,4932,6.74609375,3997.245117,6.372351169586182,-3586.171143,end
1,161355,02:41.4,0,70.34741211,0.18431372940540314,0,3,4610.402832,3.599609375,3917.477294921875,8.526595115661621,-3533.423096,right start,,1,163022,02:43.0,0,72.42882537841797,0.19607843458652496,0,3,4751.005371,-7.444211006,3888.911133,9.44660759,-3516.754639,end
1,170120,02:50.1,0,78.36899567,0.125490203,0,3,5116,-2.520782232,3759.728271484375,12.55806827545166,-3430.786865,left start,,1,172524,02:52.5,0,78.94545746,0.19607843458652496,0,3,5172.821289,0.764648438,3717.358887,13.042048454284668,-3400.407715,end
1,188232,03:08.2,0,98.81634521484375,0,0,4,4452,3.098525285720825,3387.638427734375,8.735945701599121,-3181.637939,right start,,1,189795,03:09.8,0,95.94792175292969,0,0,4,4320,-3.139458895,3351.384766,7.880956172943115,-3159.942139,end
1,195792,03:15.8,0,89.47079467773438,0,0,4,4033.12207,-2.833984375,3223.324951171875,4.646363258361816,-3074.686523,left start,,1,197210,03:17.2,0,87.28765106201172,0,0,4,3934.14209,4.684408664703369,3195.427490234375,3.889019012451172,-3053.877686,end
1,206577,03:26.6,0,85.18537139892578,0,0,4,3842,4.90234375,3006.162353515625,-0.937441707,-2928.456787,right start,,1,207788,03:27.8,0,83.38444519042969,0,0,4,3761.664306640625,-6.38671875,2981.508789,-1.494542003,-2914.451172,end
1,212663,03:32.7,0,79.59883880615234,0.1411764770746231,0,4,3604,-4.32580471,2890.109130859375,-2.16973877,-2853.451416,left start,,1,213736,03:33.7,0,79.96579742,0.14509804546833038,0,4,3623.38916,7.37890625,2871.422363,-2.166258097,-2838.732422,end
1,232284,03:52.3,0,99.22750091552734,0.13333334028720856,0,4,4484.176758,2.9178762435913086,2464.67334,-1.039263964,-2542.294922,right start,,1,233443,03:53.4,0,98.90804290771484,0.13333334028720856,0,4,4472,-3.9140625,2439.305908203125,-0.992991567,-2522.939209,end ka-bu chokugo
1,254217,04:14.2,0,97.23773956298828,0.074509807,0,4,4388,-2.994454861,2002.0013427734375,-14.37825775,-2145.602539,left start,,1,255768,04:15.8,0,96.55390930175781,0,0,4,4348,2.158203125,1971.5889892578125,-16.07613182,-2116.884521,end
1,262618,04:22.6,0,63.520057678222656,0,0,3,4130.728516,2.7298624515533447,1857.128173828125,-19.58379173,-2018.321655,right start,,1,264476,04:24.5,0,73.13206481933594,0.3522132337093353,0,3,4857.484863,-3.92240119,1830.3023681640625,-19.67816353,-1997.80835,end
1,271374,04:31.4,0,71.92415618896484,0.090196081,0,3,4691.826172,-1.439453125,1724.8372802734375,-19.86314392,-1906.5271,left start,,1,273001,04:33.0,0,73.07157897949219,0.2136746644973755,0,3,4796,8.7265625,1701.4239501953125,-19.76540375,-1883.807861,end
1,280525,04:40.5,0,75.96469879,0.1764705926179886,0,3,4972,4.2265625,1579.0230712890625,-18.84873772,-1778.373413,right start,,1,282262,04:42.3,0,77.77088928222656,0.15294118225574493,0,3,5084,-4.6328125,1549.562012,-18.29330635,-1755.636108,end
1,287549,04:47.5,0,89.64151000976562,0.2823529541492462,0,3,5905.474121,4.453125,1458.766113,-16.49201775,-1679.314209,right start,,1,288875,04:48.9,0,102.52031707763672,0.3157559931278229,0,3,6756,-5.66796875,1430.847656,-15.95764542,-1657.825562,end
1,300709,05:00.7,0,88.80496215820312,0.1411764770746231,0,4,4020.664306640625,-1.529139519,1198.724853515625,-8.319460869,-1457.352661,left start,,1,303465,05:03.5,0,93.93061828613281,0.38823530077934265,0,4,4303.553223,-0.949840784,1148.2674560546875,-6.486403942,-1411.280518,end ka-bu chokuzen
1,315692,05:15.7,0,102.71369171142578,0.1411764770746231,0,4,4644,-8.546875,962.4361572265625,-1.495794773,-1128.544067,left start,,1,316894,05:16.9,0,102.58887481689453,0.1411764770746231,0,4,4636,1.57421875,955.9429931640625,-1.498281479,-1094.907837,end Curve
1,320441,05:20.4,0,98.61656188964844,0.027450980618596077,0,4,4443.399902,0.6522185802459717,942.9705200195312,-1.158747673,-995.6866455,right start,,1,321258,05:21.3,0,96.82906341552734,0.099000148,0,4,4372,-7.828125,940.5086669921875,-1.007903099,-973.654541,end Curve
1,335529,05:35.5,0,101.92019653320312,0.1568627506494522,0,4,4608,2.158203125,937.8761596679688,0.41779807209968567,-554.4464111,right start,,1,336967,05:37.0,0,103.3332748413086,0.20033352077007294,0,4,4676,-4.175952911,935.8328857421875,1.6360952854156494,-513.661499,end
1,350761,05:50.8,0,101.91923522949219,0.1411764770746231,0,4,4608,-2.068359375,945.9537963867188,6.702249526977539,-124.6603241,left start,,1,352409,05:52.4,0,102.00021362304688,0.125490203,0,4,4605.372559,6.055520534515381,947.9761352539062,6.516072750091553,-78.01837921,end SlightCurve
1,373866,06:13.9,0,97.11366271972656,0.13725490868091583,0,4,4388.672363,-2.248046875,937.0809326171875,5.711580276489258,518.4978027,left start,,1,375327,06:15.3,0,96.90224457,0.1764705926179886,0,4,4388.88623,4.94921875,938.9289551,5.833954334259033,557.8226318359375,end
1,386032,06:26.0,0,100.18879699707031,0.1411764770746231,0,4,4531.598145,3.6490423679351807,938.0502319335938,6.734007358551025,855.8225708007812,right start,,1,387235,06:27.2,0,100.07464599609375,0.14509804546833038,0,4,4524.334961,-6.695602894,936.0216064453125,6.834375381469727,889.2271118164062,end
1,391849,06:31.8,0,99.69379425048828,0.1411764770746231,0,4,4508,3.971203565597534,934.1868286132812,6.646974086761475,1017.2093505859375,right start,,1,393192,06:33.2,0,99.76637268066406,0.14509804546833038,0,4,4512,-3.599609375,932.0668334960938,6.550783634185791,1054.3692626953125,end
1,399295,06:39.3,0,96.91620635986328,0.11372549086809158,0,4,4380,-2.647969007,931.9064941,8.967344284057617,1223.1556396484375,left start,,1,400560,06:40.6,0,94.87676239013672,0.12156862765550613,0,4,4288,6.529163837432861,933.7416992,10.026081085205078,1256.794677734375,end
1,410388,06:50.4,0,98.17010498046875,0.13725490868091583,0,4,4437.415039,-0.867946863,947.1072998046875,14.53119183,1524.197266,right start,,1,411853,06:51.9,0,98.32196807861328,0.15023332834243774,0,4,4444,-5.30859375,951.9962158203125,14.31784725189209,1563.878906,end Curve
