2023-11-28T18:33:54.422322,r, R:1 L:0 X:0
2023-11-28T18:34:06.811685,l, R:1 L:1 X:0
2023-11-28T18:34:15.315182,r, R:2 L:1 X:0
2023-11-28T18:34:26.899436,l, R:2 L:2 X:0
2023-11-28T18:34:32.955526,r, R:3 L:2 X:0
2023-11-28T18:34:41.541745,l, R:3 L:3 X:0
2023-11-28T18:34:59.941387,r, R:4 L:3 X:0
2023-11-28T18:35:07.437609,l, R:4 L:4 X:0
2023-11-28T18:35:17.760354,r, R:5 L:4 X:0
2023-11-28T18:35:24.430063,l, R:5 L:5 X:0
2023-11-28T18:35:43.310252,x, R:5 L:5 X:1
2023-11-28T18:36:05.441181,l, R:5 L:6 X:1
2023-11-28T18:36:14.063992,r, R:6 L:6 X:1
2023-11-28T18:36:20.461352,x, R:6 L:6 X:2
2023-11-28T18:36:32.250878,r, R:7 L:6 X:2
2023-11-28T18:36:38.775429,r, R:8 L:6 X:2
2023-11-28T18:36:53.025730,l, R:8 L:7 X:2
2023-11-28T18:37:07.965779,x, R:8 L:7 X:3
2023-11-28T18:37:10.090024,x, R:8 L:7 X:4
2023-11-28T18:37:27.021867,r, R:9 L:7 X:4
2023-11-28T18:37:42.405726,l, R:9 L:8 X:4
2023-11-28T18:38:04.906736,l, R:9 L:9 X:4
2023-11-28T18:38:16.839140,r, R:10 L:9 X:4
2023-11-28T18:38:22.952480,r, R:11 L:9 X:4
2023-11-28T18:38:30.100347,l, R:11 L:10 X:4
2023-11-28T18:38:40.949218,x, R:11 L:10 X:5
2023-11-28T18:38:52.861225,l, R:11 L:11 X:5
2023-11-28T18:39:02.087155,r, R:12 L:11 X:5
2023-11-28T18:39:29.577726,l, R:12 L:12 X:5
2023-11-28T18:39:45.836701,x, R:12 L:12 X:6
2023-11-28T18:39:53.106099,x, R:12 L:12 X:7
2023-11-28T18:39:58.490671,r, R:13 L:12 X:7
2023-11-28T18:40:14.768143,l, R:13 L:13 X:7
