lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,111816,01:51.8,0,178.82276916503906,0,0,6,5039.116699,-20.08722687,4678.026367,5.0088276863098145,-4042.610596,right start,,1,112687,01:52.7,0,175.56654357910156,0,0,6,4952,-3.387306929,4641.29834,5.144347190856934,-4020.464844,end kyuusugi?
1,120025,02:00.0,0,153.06434631347656,0,0,6,4322.095703,5.333350658416748,4362.931641,5.299137592315674,-3835.551758,left start,,1,124531,02:04.5,0,141.2843780517578,0,0,6,3992,-1.3046875,4209.418457,5.381539821624756,-3733.878906,end konogyounashi
1,146649,02:26.6,0,62.00627899169922,0.23227888345718384,0,3,4071.641602,-1.08715415,3750.304688,12.717497825622559,-3428.677246,left start,,1,148084,02:28.1,0,77.53815460205078,0.43529412150382996,0,3,5181.51123,3.7174015045166016,3728.695556640625,12.972240447998047,-3412.076416,end
1,150831,02:30.8,0,79.87037658691406,0,0,3,5191.071777,-3.509765625,3676.623535,13.296560287475586,-3375.605469,left start,,1,153688,02:33.7,0,91.62234497070312,0.4431372582912445,0,3,6108.79248,0.9086723923683167,3624.898681640625,13.234922409057617,-3339.007568,end renzokudenaika kakunin
1,167958,02:48.0,0,106.72525024414062,0.031372551,0,4,4808,-1.125824571,3330.348633,7.293900012969971,-3143.640137,right start,,1,170802,02:50.8,0,102.293457,0.10980392247438431,0,4,4620,-3.05859375,3260.761719,5.595574378967285,-3099.727051,end
1,191708,03:11.7,0,79.43227386,0.023529412,0,4,3583.303466796875,-0.494873047,2738.896484,-1.897497892,-2755.221924,right start,,1,195443,03:15.4,0,82.48347473144531,0.2383117377758026,0,4,3741.539063,-1.979492188,2665.862548828125,-1.744487524,-2708.865723,end Curve
1,211028,03:31.0,0,100.5320053100586,0.023529412,0,4,4530.616699,-1.439453125,2328.784423828125,-0.965249896,-2432.201416,left start,,1,212595,03:32.6,0,97.32029724121094,0.058083698,0,4,4388,2.8984036445617676,2297.544922,-0.967454195,-2402.602539,end
1,237077,03:57.1,0,100.6557388305664,0.098039217,0,4,4544,1.547393560409546,1738.404541015625,-19.89685059,-1920.65686,right start,,1,238059,03:58.1,0,99.78839874267578,0.11764705926179886,0,4,4508,-5.400090694,1716.5308837890625,-19.83773613,-1904.234009,end
1,256764,04:16.8,0,114.08787536621094,0,0,4,5134.225586,-1.439453125,1249.8201904296875,-10.11944866,-1501.463501,left start,,1,258786,04:18.8,0,106.3568115234375,0,0,4,4788,0.539550781,1204.2264404296875,-8.469849586,-1459.639771,end
1,266164,04:26.2,0,86.19025421142578,0.11372549086809158,0,4,3897.852783203125,-6.250457764,1065.1041259765625,-3.312705994,-1325.484131,left start,,1,267560,04:27.6,0,85.10813903808594,0.14509804546833038,0,4,3854,0.539550781,1046.5091552734375,-2.517693758,-1297.983276,end Curve
