lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,252014,04:12.0,0,131.3221893310547,0.3692393898963928,0,5,4682.312012,-0.359863281,936.2659912109375,4.024725914001465,-437.0397339,left start,,1,252963,04:13.0,0,134.72482299804688,0.30588236451148987,0,5,4792,3.587418318,938.9090576171875,4.901937484741211,-402.0298462,end SlightCurve tukatte yosasou
1,264932,04:24.9,0,116.41693878173828,0,0,5,4100.925781,8.151476860046387,945.5817871,6.084991455078125,30.69231414794922,right start,,1,267310,04:27.3,0,111.15682983398438,0,0,5,3919.453369140625,-3.530407906,938.8692016601562,5.779325485229492,105.48519134521484,end SlightCurve
1,269565,04:29.6,0,106.54287719726562,0,0,5,3756.784668,-5.969337463,935.482666,5.506110191345215,173.55935668945312,left start,,1,270790,04:30.8,0,104.13735961914062,0,0,5,3674,8.040869713,936.3979492,5.359742164611816,209.39732360839844,end SlightCurve
1,276913,04:36.9,0,107.14873504638672,0.30980393290519714,0,5,3815.059326171875,-2.170358181,935.5383911132812,5.301827430725098,385.1949768066406,right start,,1,278044,04:38.0,0,112.48712921142578,0.3607843220233917,0,5,4013.853516,-2.33984375,933.6468505859375,5.406490325927734,419.6228332519531,end
1,283080,04:43.1,0,119.15459442138672,0,0,5,4200,-4.530810833,933.3701172,5.916882514953613,588.3942260742188,left start,,1,284041,04:44.0,0,116.61469268798828,0,0,5,4112,11.627861022949219,935.2340087890625,6.0155792236328125,619.8208618164062,end
1,292881,04:52.9,0,114.92227172851562,0,0,5,4053.907227,2.1290433406829834,934.3507690429688,6.8589019775390625,903.2180176,right start,,1,293756,04:53.8,0,112.91473388671875,0,0,5,3983.304443359375,-4.628904819,932.3150024414062,6.865848541259766,930.8200684,end
1,297296,04:57.3,0,105.43190002441406,0,0,5,3720,-4.2265625,932.4031982421875,6.5868330001831055,1038.122314453125,left start,,1,298144,04:58.1,0,103.70439910888672,0,0,5,3660,5.166652679443359,934.2735595703125,6.548990726470947,1062.673095703125,end
1,320570,05:20.6,0,104.29342651367188,0,0,5,3680,1.0999665260314941,1006.2493286132812,11.88907527923584,1762.539063,right start,,1,321440,05:21.4,0,102.83296203613281,0,0,5,3630.070313,-9.181061745,1011.030029296875,11.584846496582031,1787.1004638671875,end
1,329707,05:29.7,0,112.55519104003906,0,0,5,3971.728759765625,-3.584250689,1078.932373046875,10.543386459350586,2031.100098,left start,,1,330487,05:30.5,0,110.2346420288086,0,0,5,3888,9.149545669555664,1087.156738,11.004237174987793,2053.797363,end
1,347245,05:47.2,0,125.94567108154297,0,0,5,4436,2.676403284072876,1233.455810546875,20.08965301513672,2582.717285,right start,,1,348906,05:48.9,0,123.56007385253906,0,0,5,4352,-2.029177427,1246.8953857421875,18.179914474487305,2638.683594,end
